filename,augmentation,level,achieved_snr_db
060039d9-5218402b.jpg,rain,2,17.6
060039d9-5218402b.jpg,rain,3,13.07
060039d9-5218402b.jpg,rain,4,10.49
060039d9-5218402b.jpg,rain,5,8.64
060039d9-5218402b.jpg,rain,6,7.3
060039d9-5218402b.jpg,rain,7,6.24
060039d9-5218402b.jpg,rain,8,5.38
060039d9-5218402b.jpg,rain,9,4.62
064aa0d6-f75ff4d5.jpg,motion_blur,1,37.83
064aa0d6-f75ff4d5.jpg,motion_blur,2,32.85
064aa0d6-f75ff4d5.jpg,motion_blur,3,30.21
064aa0d6-f75ff4d5.jpg,motion_blur,4,28.52
064aa0d6-f75ff4d5.jpg,motion_blur,5,27.29
064aa0d6-f75ff4d5.jpg,motion_blur,6,26.34
064aa0d6-f75ff4d5.jpg,motion_blur,7,25.56
064aa0d6-f75ff4d5.jpg,motion_blur,8,24.91
064aa0d6-f75ff4d5.jpg,motion_blur,9,24.35
064aa0d6-f75ff4d5.jpg,low_light,1,9.78
064aa0d6-f75ff4d5.jpg,low_light,2,7.39
064aa0d6-f75ff4d5.jpg,low_light,3,5.53
064aa0d6-f75ff4d5.jpg,low_light,4,4.07
064aa0d6-f75ff4d5.jpg,low_light,5,2.92
064aa0d6-f75ff4d5.jpg,low_light,6,1.97
064aa0d6-f75ff4d5.jpg,low_light,7,1.21
064aa0d6-f75ff4d5.jpg,low_light,8,0.62
064aa0d6-f75ff4d5.jpg,low_light,9,0.19
064aa0d6-f75ff4d5.jpg,rain,1,21.21
064aa0d6-f75ff4d5.jpg,rain,2,16.33
064aa0d6-f75ff4d5.jpg,rain,3,12.73
064aa0d6-f75ff4d5.jpg,rain,4,10.52
064aa0d6-f75ff4d5.jpg,rain,5,8.91
064aa0d6-f75ff4d5.jpg,rain,6,7.7
064aa0d6-f75ff4d5.jpg,rain,7,6.74
064aa0d6-f75ff4d5.jpg,rain,8,5.95
064aa0d6-f75ff4d5.jpg,rain,9,5.26
07de5062-ddddcbd7.jpg,motion_blur,1,39.97
07de5062-ddddcbd7.jpg,motion_blur,2,34.96
07de5062-ddddcbd7.jpg,motion_blur,3,32.48
07de5062-ddddcbd7.jpg,motion_blur,4,30.91
07de5062-ddddcbd7.jpg,motion_blur,5,29.76
07de5062-ddddcbd7.jpg,motion_blur,6,28.88
07de5062-ddddcbd7.jpg,motion_blur,7,28.15
07de5062-ddddcbd7.jpg,motion_blur,8,27.54
07de5062-ddddcbd7.jpg,motion_blur,9,27.02
07de5062-ddddcbd7.jpg,low_light,1,10.84
07de5062-ddddcbd7.jpg,low_light,2,8.05
07de5062-ddddcbd7.jpg,low_light,3,5.95
