image,augmentation,level,snr_db,ref_count,cand_count,matched_count,matched_recall,retention_ratio,mean_iou_matched
0c1bdf73-7a852c2a.jpg,motion_blur,1,37.06775291880764,6,6,6,1.0,1.0,0.9489325013922293
0c1eebb0-dbb11761.jpg,motion_blur,1,35.80288857858399,12,13,12,1.0,1.0833333333333333,0.9556942095156846
0c28dcae-7f85dd38.jpg,motion_blur,1,27.94112509221786,8,8,8,1.0,1.0,0.963110141874111
0c28dcae-c3c143f2.jpg,motion_blur,1,28.44461159637732,8,8,8,1.0,1.0,0.9823677439713371
0c2cb3d5-0bdfd48d.jpg,motion_blur,1,26.216034324369414,4,4,4,1.0,1.0,0.9919716206123973
0c34273d-87a7edaa.jpg,motion_blur,1,32.2853118450857,1,2,1,1.0,2.0,1.0
0c37f221-e2897443.jpg,motion_blur,1,30.610407878201325,5,5,5,1.0,1.0,0.9556677581950567
0c37fe53-5f181247.jpg,motion_blur,1,33.747320887817374,6,6,6,1.0,1.0,0.9828869801229946
0c46ce67-5ca710eb.jpg,motion_blur,1,31.52571495316685,5,5,5,1.0,1.0,0.9822713917016237
0c506e60-ff9e0000.jpg,motion_blur,1,24.906455277905156,7,7,7,1.0,1.0,0.9830486836250525
0c506e60-ff9e0001.jpg,motion_blur,1,25.140802759253972,7,7,7,1.0,1.0,0.9463726312996373
0c5636b3-00000000.jpg,motion_blur,1,29.26880123478763,7,8,7,1.0,1.1428571428571428,0.9733847023067751
0c6c9c66-5e867ddf.jpg,motion_blur,1,31.34659514046199,15,15,15,1.0,1.0,0.9266550467731834
0c7914cf-00000000.jpg,motion_blur,1,26.48129043405017,7,7,7,1.0,1.0,0.9774406478333569
0c7aa2a6-9c0f3111.jpg,motion_blur,1,30.303825133501174,12,12,12,1.0,1.0,0.9721365031346972
0c7c6dd2-568b770f.jpg,motion_blur,1,28.206578645631964,6,6,6,1.0,1.0,0.9763749919522741
0c7d02a2-73802207.jpg,motion_blur,1,38.95239754270748,6,7,6,1.0,1.1666666666666667,0.9945937634171694
0c8a2c79-0194bc27.jpg,motion_blur,1,43.15366211990661,3,3,3,1.0,1.0,0.9883555846462846
0c8a7a98-e267fd54.jpg,motion_blur,1,35.31968942395551,9,9,8,0.8888888888888888,1.0,0.955521734393465
0c8af716-4ea8aa81.jpg,motion_blur,1,35.86546316241847,0,0,0,,,
0c8b32af-2d9a6111.jpg,motion_blur,1,27.011565848902478,7,6,6,0.8571428571428571,0.8571428571428571,0.9749543339925539
0c8c70f2-160e0000.jpg,motion_blur,1,37.086702404234444,6,6,6,1.0,1.0,0.9951027997198748
0c8c70f2-160e0001.jpg,motion_blur,1,37.34465505365807,6,6,6,1.0,1.0,0.9967318683562105
0c8c70f2-45110000.jpg,motion_blur,1,35.71607186328747,4,5,4,1.0,1.25,0.9903103422446596
0c8c70f2-45110001.jpg,motion_blur,1,35.880209310278936,5,5,5,1.0,1.0,0.9725069347114144
0c8c70f2-91d10000.jpg,motion_blur,1,35.32814004203102,5,5,5,1.0,1.0,0.9884657130687462
0c8c70f2-ae0e0000.jpg,motion_blur,1,37.552700744253215,4,4,4,1.0,1.0,0.9938156924211692
0c8c70f2-ae0e0001.jpg,motion_blur,1,37.487622188929095,5,5,5,1.0,1.0,0.9887848692274896
0c90a09f-9a869a38.jpg,motion_blur,1,29.78019065821632,6,6,6,1.0,1.0,0.9890929622771335
0ca68027-29e38754.jpg,motion_blur,1,39.19523019939666,5,6,5,1.0,1.2,0.9731001639822988
0cafe7ab-e22edf50.jpg,motion_blur,1,25.85690564114001,8,8,8,1.0,1.0,0.9649525157453159
0cb740c9-8bdcf951.jpg,motion_blur,1,28.604951333190392,14,14,14,1.0,1.0,0.9607834651535286
0cca6223-bbe8997f.jpg,motion_blur,1,35.856972259494675,5,5,5,1.0,1.0,0.9840038430911632
0ccee6d5-1b69c148.jpg,motion_blur,1,26.49698494507835,6,5,5,0.8333333333333334,0.8333333333333334,0.9854556623940323
0cd3378c-e94d1795.jpg,motion_blur,1,37.38842156895126,14,14,14,1.0,1.0,0.9594040965591812
0cdaa475-135c7ac8.jpg,motion_blur,1,33.33288503202837,5,5,5,1.0,1.0,0.9913545529203892
0cdde16a-e2d9677e.jpg,motion_blur,1,34.82899944192793,8,8,8,1.0,1.0,0.9575591019597756
0ce3ea39-a5de431d.jpg,motion_blur,1,24.43700912908977,6,7,6,1.0,1.1666666666666667,0.9581560298490372
0ce5101a-319adcd7.jpg,motion_blur,1,28.28725811430698,7,5,5,0.7142857142857143,0.7142857142857143,0.9930277921161949
0ce9abb1-857ab875.jpg,motion_blur,1,29.455111804868746,9,9,9,1.0,1.0,0.9842861432322216
0ceb02a1-9d25dd06.jpg,motion_blur,1,37.28382023060993,4,3,3,0.75,0.75,0.8716326530612245
0cf398b3-ce65ab64.jpg,motion_blur,1,27.330201533201475,3,3,3,1.0,1.0,0.9780503530655152
0cfec584-8ab90c1e.jpg,motion_blur,1,28.176346397445467,6,6,5,0.8333333333333334,1.0,0.9704934930886697
0cff84c0-cedd14a5.jpg,motion_blur,1,38.179419429283975,11,11,11,1.0,1.0,0.9638949751468787
